round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
59,290.645,295.645,5,1.0.0.2,4983.75,4895.46,4895.46,22.4474,1.51956,0.851827,99.1482,4461,4423,3114844,3059664
59,290.645,295.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
60,295.645,300.645,5,1.0.0.2,7231.62,7018.04,7018.04,25.4704,1.60115,1.57886,98.4211,5827,5735,4519762,4386274
60,295.645,300.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
61,300.645,305.645,5,1.0.0.2,3892.32,3831.47,3831.47,19.2954,1.61741,0.801833,99.1982,3492,3464,2432700,2394667
61,300.645,305.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
62,305.645,310.645,5,1.0.0.2,4936.24,4692.83,4692.83,30.6716,2.74266,2.67176,97.3282,3930,3825,3085149,2933016
62,305.645,310.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
63,310.645,315.645,5,1.0.0.2,5816.93,5770.39,5770.39,15.1398,1.31181,0.438116,99.5619,4565,4545,3635583,3606496
63,310.645,315.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
64,315.645,320.645,5,1.0.0.2,6002.01,5922.78,5922.78,16.7535,1.60614,0.703497,99.2965,4833,4799,3751256,3701738
64,315.645,320.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
65,320.645,325.645,5,1.0.0.2,6096.23,6050.6,6050.6,23.0002,1.21745,0.441413,99.5586,4984,4962,3810142,3781623
65,320.645,325.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
66,325.645,330.645,5,1.0.0.2,3857.33,3627.32,3627.32,23.107,2.53419,3.51809,96.4819,3013,2907,2410832,2267077
66,325.645,330.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
67,330.645,335.645,5,1.0.0.2,3834.49,3777.01,3777.01,28.7515,1.72561,0.930851,99.0691,3008,2980,2396557,2360630
67,330.645,335.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
68,335.645,340.645,5,1.0.0.2,4976.07,4860.55,4860.55,18.2538,2.23368,1.35841,98.6416,3828,3776,3110046,3037841
68,335.645,340.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
69,340.645,345.645,5,1.0.0.2,3777.11,3689.34,3689.34,18.3911,1.90306,1.41844,98.5816,2820,2780,2360694,2305838
69,340.645,345.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
70,345.645,350.645,5,1.0.0.2,6717.98,6537.86,6537.86,18.8813,1.81247,1.43636,98.5636,5500,5421,4198737,4086161
70,345.645,350.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
71,350.645,355.645,5,1.0.0.2,5302.08,5227.21,5227.21,22.6685,1.55026,4.46285,95.5372,4347,4153,3313798,3267006
71,350.645,355.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
72,355.645,360.645,5,1.0.0.2,4761.94,4666.8,4666.8,17.1179,1.52963,1.10542,98.8946,3709,3668,2976215,2916752
72,355.645,360.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
73,360.645,365.645,5,1.0.0.2,4775.52,4673.26,4673.26,15.7296,1.49263,1.18887,98.8111,3701,3657,2984701,2920789
73,360.645,365.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
74,365.645,370.645,5,1.0.0.2,4806.75,4683.66,4683.66,19.4433,1.50907,1.37093,98.6291,3866,3813,3004221,2927290
74,365.645,370.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
75,370.645,375.645,5,1.0.0.2,1161.93,1161.79,1161.79,14.5395,0.856905,0,100,803,803,726204,726120
75,370.645,375.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
76,375.645,380.645,5,1.0.0.2,6459.34,6299.13,6299.13,17.4621,1.94107,1.27494,98.7251,5412,5343,4037085,3936956
76,375.645,380.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
77,380.645,385.645,5,1.0.0.2,3813.99,3631.67,3631.67,18.4693,2.60884,2.69317,97.3068,3119,3035,2383742,2269791
77,380.645,385.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
78,385.645,390.645,5,1.0.0.2,4025.45,3822.12,3822.12,20.6058,2.61935,6.27894,93.7211,3456,3239,2515908,2388827
78,385.645,390.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
79,390.645,395.194,4.5485,1.0.0.2,7931.74,7709.67,7709.67,29.1213,1.54327,1.51304,98.487,5750,5663,4509690,4383429
79,390.645,395.194,4.5485,5.0.0.2,1934.83,1934.8,1934.8,7.32095,0.356937,0,100,1046,1046,1100072,1100053
80,395.194,400.194,5,1.0.0.2,3509.41,3509.18,3509.18,23.4167,1.16324,0,100,2787,2787,2193379,2193236
80,395.194,400.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
81,400.194,405.194,5,1.0.0.2,4798.79,4701.3,4701.3,21.4131,1.70146,5.33734,94.6627,4328,4097,2999243,2938313
81,400.194,405.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
82,405.194,410.194,5,1.0.0.2,4795.09,4669.16,4669.16,30.1682,1.8852,1.61594,98.3841,3713,3653,2996931,2918223
82,405.194,410.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
83,410.194,415.194,5,1.0.0.2,4048.41,3903.99,3903.99,21.7008,1.8275,1.62257,98.3774,4006,3941,2530257,2439993
83,410.194,415.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
84,415.194,420.194,5,1.0.0.2,4739.98,4665.72,4665.72,24.0001,1.25125,0.869565,99.1304,3680,3648,2962489,2916073
84,415.194,420.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
85,420.194,425.194,5,1.0.0.2,4801.48,4685.36,4685.36,17.2749,1.8301,1.28238,98.7176,3899,3849,3000924,2928351
85,420.194,425.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
86,425.194,430.194,5,1.0.0.2,4815.14,4561.07,4561.07,14.8888,1.42297,2.73571,97.2643,4094,3982,3009465,2850667
86,425.194,430.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
87,430.194,435.194,5,1.0.0.2,6771.95,6401.18,6401.18,19.8823,2.10013,3.00454,96.9955,5292,5133,4232471,4000741
87,430.194,435.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
88,435.194,440.194,5,1.0.0.2,6560.01,6519.38,6519.38,18.3368,1.06402,0.314873,99.6851,5399,5382,4100003,4074611
88,435.194,440.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
89,440.194,445.194,5,1.0.0.2,2389.3,2385.39,2385.39,18.0139,1.01434,0.118483,99.8815,1688,1686,1493315,1490871
89,440.194,445.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
90,445.194,450.194,5,1.0.0.2,3131.32,3010.09,3010.09,14.8222,1.93853,2.24632,97.7537,2582,2524,1957072,1881307
90,445.194,450.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
91,450.194,455.194,5,1.0.0.2,2203.96,2118.05,2118.05,12.124,2.0383,2.0567,97.9433,1799,1762,1377475,1323782
91,450.194,455.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
92,455.194,460.194,5,1.0.0.2,5024.1,4931.57,4931.57,25.1167,1.62162,3.21412,96.7859,4418,4276,3140063,3082234
92,455.194,460.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
93,460.194,465.194,5,1.0.0.2,3600.89,3505.7,3505.7,36.1549,1.8003,1.46796,98.532,2793,2752,2250559,2191063
93,460.194,465.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
