round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
82,406,411,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
83,411,416,5,1.0.0.2,4821.92,4701.99,4701.99,13.605,1.56852,1.30653,98.6935,3980,3928,3013701,2938743
83,411,416,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
84,416,421,5,1.0.0.2,5685.85,5616.07,5616.07,20.5831,1.77793,0.62513,99.3749,4799,4769,3553657,3510044
84,416,421,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
85,421,426,5,1.0.0.2,5925.61,5846.71,5846.71,16.2502,1.57795,0.695866,99.3041,4886,4852,3703509,3654196
85,421,426,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
86,426,431,5,1.0.0.2,5339.04,5169.13,5169.13,18.767,1.66822,1.62741,98.3726,4670,4594,3336902,3230705
86,426,431,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
87,431,436,5,1.0.0.2,6076.61,5860.46,5860.46,32.7562,2.22431,1.89173,98.1083,4969,4875,3797881,3662789
87,431,436,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
88,436,441,5,1.0.0.2,2951.29,2801.14,2801.14,12.6421,1.89871,2.03887,97.9611,3139,3075,1844556,1750712
88,436,441,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
89,441,446,5,1.0.0.2,4756.58,4741.62,4741.62,18.0025,1.46635,0.176278,99.8237,3971,3964,2972860,2963512
89,441,446,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
90,446,451,5,1.0.0.2,2776.34,2699.67,2699.67,14.6399,2.13416,1.28806,98.7119,2562,2529,1735215,1687295
90,446,451,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
91,451,456,5,1.0.0.2,5907.55,5849.55,5849.55,15.1697,1.196,0.514192,99.4858,4862,4837,3692217,3655967
91,451,456,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
92,456,461,5,1.0.0.2,4939.87,4786.53,4786.53,18.6139,1.55792,1.47717,98.5228,4468,4402,3087418,2991579
92,456,461,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
93,461,464.564,3.56407,1.0.0.2,9392.93,9376.78,9376.78,19.1513,1.26896,0.0895255,99.9105,5585,5580,4184630,4177434
93,461,464.564,3.56407,5.0.0.2,2277.86,2277.2,2277.2,7.42906,0.596281,0.103627,99.8964,965,964,1014805,1014511
94,464.564,468.314,3.74947,1.0.0.2,9887.29,9840.62,9840.62,24.2825,1.62709,0.243744,99.7563,6154,6139,4634006,4612133
94,464.564,468.314,3.74947,5.0.0.2,2277.86,2277.2,2277.2,7.43013,0.596275,0.0985222,99.9015,1015,1014,1067594,1067285
95,468.314,473.314,5,1.0.0.2,4690.98,4690.94,4690.94,19.0761,1.29371,0,100,3888,3888,2931861,2931837
95,468.314,473.314,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
96,473.314,478.314,5,1.0.0.2,6847.57,6698.56,6698.56,36.0352,2.42085,1.13074,98.8693,5660,5596,4279731,4186598
96,473.314,478.314,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
97,478.314,483.314,5,1.0.0.2,5297.97,5095.38,5095.38,20.8504,2.4149,1.89749,98.1025,4585,4498,3311233,3184610
97,478.314,483.314,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
98,483.314,488.314,5,1.0.0.2,6216.87,6092.01,6092.01,20.9965,1.94121,1.07464,98.9254,5118,5063,3885545,3807507
98,483.314,488.314,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
99,488.314,492.199,3.88503,1.0.0.2,9387.75,9352.05,9352.05,22.0401,1.70153,0.197824,99.8022,6066,6054,4558967,4541631
99,488.314,492.199,3.88503,5.0.0.2,2277.86,2277.2,2277.2,7.42069,0.595453,0,100,1052,1052,1106195,1105874
100,492.199,497.199,5,1.0.0.2,4808.52,4694.79,4694.79,22.0406,1.99437,1.24302,98.757,3942,3893,3005325,2934241
100,492.199,497.199,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
